SYMBOL,COMPANYNAME,SERIES,ISIN NUMBER
MARKSANS,Marksans Pharma Limited,EQ,INE750C01026
MARUTI,Maruti Suzuki India Limited,EQ,INE585B01010
MASFIN,MAS Financial Services Limited,EQ,INE348L01012
MASTEK,Mastek Limited,EQ,INE759A01021
MATRIMONY,Matrimony.Com Limited,EQ,INE866R01028
MAWANASUG,Mawana Sugars Limited,EQ,INE636A01039
MAXINDIA,Max India Limited,EQ,INE153U01017
MAXVIL,Max Ventures and Industries Limited,EQ,INE154U01015
MAYURUNIQ,Mayur Uniquoters Ltd,EQ,INE040D01038
MAZDA,Mazda Limited,EQ,INE885E01034
MBECL,Mcnally Bharat Engineering Company Limited,BE,INE748A01016
MBLINFRA,MBL Infrastructures Limited,EQ,INE912H01013
MCDHOLDING,McDowell Holdings Limited,EQ,INE836H01014
MCDOWELL-N,United Spirits Limited,EQ,INE854D01024
MCLEODRUSS,Mcleod Russel India Limited,EQ,INE942G01012
MCX,Multi Commodity Exchange of India Limited,EQ,INE745G01035
MEGASOFT,Megasoft Limited,EQ,INE933B01012
MEGH,Meghmani Organics Limited,EQ,INE974H01013
MELSTAR,Melstar Information Technologies Limited,BE,INE817A01019
MENONBE,Menon Bearings Limited,EQ,INE071D01033
MEP,MEP Infrastructure Developers Limited,EQ,INE776I01010
MERCATOR,Mercator Limited,EQ,INE934B01028
MERCK,Merck Limited,EQ,INE199A01012
METALFORGE,Metalyst Forgings Limited,BE,INE425A01011
METKORE,Metkore Alloys & Industries Limited,EQ,INE592I01029
MFSL,Max Financial Services Limited,EQ,INE180A01020
MGL,Mahanagar Gas Limited,EQ,INE002S01010
MHRIL,Mahindra Holidays & Resorts India Limited,EQ,INE998I01010
MIC,MIC Electronics Limited,EQ,INE287C01029
MIDHANI,Mishra Dhatu Nigam Limited,EQ,INE099Z01011
MINDACORP,Minda Corporation Limited,EQ,INE842C01021
MINDAIND,Minda Industries Limited,EQ,INE405E01023
MINDTECK,Mindteck (India) Limited,EQ,INE110B01017
MINDTREE,MindTree Limited,EQ,INE018I01017
MIRCELECTR,MIRC Electronics Limited,EQ,INE831A01028
MIRZAINT,Mirza International Limited,EQ,INE771A01026
MMFL,MM Forgings Limited,EQ,INE227C01017
MMTC,MMTC Limited,EQ,INE123F01029
MODIRUBBER,Modi Rubber Limited,BE,INE832A01018
MOHITIND,Mohit Industries Limited,EQ,INE954E01012
MOHOTAIND,Mohota Industries Limited,EQ,INE313D01013
MOIL,MOIL Limited,EQ,INE490G01020
MOLDTECH,Mold-Tek Technologies Limited,EQ,INE835B01035
MOLDTKPAC,Mold-Tek Packaging Limited,EQ,INE893J01029
MONNETISPA,Monnet Ispat and Energy Limited,BE,INE743C01013
MONSANTO,Monsanto India Limited,EQ,INE274B01011
MONTECARLO,Monte Carlo Fashions Limited,EQ,INE950M01013
MORARJEE,Morarjee Textiles Limited,EQ,INE161G01027
MOREPENLAB,Morepen Laboratories Limited,EQ,INE083A01026
MOSERBAER,Moser-Baer (I) Limited,BZ,INE739A01015
MOTHERSUMI,Motherson Sumi Systems Limited,EQ,INE775A01035
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ,INE338I01027
MOTOGENFIN,The Motor & General Finance Limited,EQ,INE861B01015
MPHASIS,MphasiS Limited,EQ,INE356A01018
MPSLTD,MPS Limited,EQ,INE943D01017
MRF,MRF Limited,EQ,INE883A01011
MRO-TEK,MRO-TEK Realty Limited,EQ,INE398B01018
MRPL,Mangalore Refinery and Petrochemicals Limited,EQ,INE103A01014
MSPL,MSP Steel & Power Limited,EQ,INE752G01015
MTEDUCARE,MT Educare Limited,EQ,INE472M01018
MTNL,Mahanagar Telephone Nigam Limited,EQ,INE153A01019
MUKANDENGG,Mukand Engineers Limited,EQ,INE022B01014
MUKANDLTD,Mukand Limited,EQ,INE304A01026
MUKTAARTS,Mukta Arts Limited,EQ,INE374B01019
MUNJALAU,Munjal Auto Industries Limited,EQ,INE672B01032
MUNJALSHOW,Munjal Showa Limited,EQ,INE577A01027
MURUDCERA,Murudeshwar Ceramics Limited,EQ,INE692B01014
MUTHOOTCAP,Muthoot Capital Services Limited,EQ,INE296G01013
MUTHOOTFIN,Muthoot Finance Limited,EQ,INE414G01012
MVL,MVL Limited,EQ,INE744I01034
NACLIND,NACL Industries Limited,EQ,INE295D01020
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,EQ,INE454M01024
NAGAROIL,Nagarjuna Oil Refinery Limited,EQ,INE453M01018
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,EQ,INE245I01016
NAGREEKEXP,Nagreeka Exports Limited,EQ,INE123B01028
NAHARCAP,Nahar Capital and Financial Services Limited,EQ,INE049I01012
NAHARINDUS,Nahar Industrial Enterprises Limited,EQ,INE289A01011
NAHARPOLY,Nahar Poly Films Limited,EQ,INE308A01027
NAHARSPING,Nahar Spinning Mills Limited,EQ,INE290A01027
NATCOPHARM,Natco Pharma Limited,EQ,INE987B01026
NATHBIOGEN,Nath Bio-Genes (India) Limited,EQ,INE448G01010
NATIONALUM,National Aluminium Company Limited,EQ,INE139A01034
NATNLSTEEL,National Steel And Agro Industries Limited,EQ,INE088B01015
NAUKRI,Info Edge (India) Limited,EQ,INE663F01024
NAVINFLUOR,Navin Fluorine International Limited,EQ,INE048G01026
NAVKARCORP,Navkar Corporation Limited,EQ,INE278M01019
NAVNETEDUL,Navneet Education Limited,EQ,INE060A01024
NBCC,NBCC (India) Limited,EQ,INE095N01031
NBIFIN,N. B. I. Industrial Finance Company Limited,EQ,INE365I01020
NBVENTURES,Nava Bharat Ventures Limited,EQ,INE725A01022
NCC,NCC Limited,EQ,INE868B01028
NCLIND,NCL Industries Limited,EQ,INE732C01016
NDGL,Naga Dhunseri Group Limited,EQ,INE756C01015
NDL,Nandan Denim Limited,EQ,INE875G01030
NDTV,New Delhi Television Limited,BE,INE155G01029
NECCLTD,North Eastern Carrying Corporation Limited,EQ,INE553C01016
NECLIFE,Nectar Lifesciences Limited,EQ,INE023H01027
NELCAST,Nelcast Limited,EQ,INE189I01024
NELCO,NELCO Limited,EQ,INE045B01015
NESCO,Nesco Limited,EQ,INE317F01035
NESTLEIND,Nestle India Limited,EQ,INE239A01016
NETWORK18,Network18 Media & Investments Limited,EQ,INE870H01013
NEULANDLAB,Neuland Laboratories Limited,EQ,INE794A01010
NEWGEN,Newgen Software Technologies Limited,EQ,INE619B01017
NEXTMEDIA,Next Mediaworks Limited,EQ,INE747B01016
NFL,National Fertilizers Limited,EQ,INE870D01012
NH,Narayana Hrudayalaya Ltd.,EQ,INE410P01011
NHPC,NHPC Limited,EQ,INE848E01016
NIACL,The New India Assurance Company Limited,EQ,INE470Y01017
NIBL,NRB Industrial Bearings Limited,EQ,INE047O01014
NIITLTD,NIIT Limited,EQ,INE161A01038
NIITTECH,NIIT Technologies Limited,EQ,INE591G01017
NILAINFRA,Nila Infrastructures Limited,EQ,INE937C01029
NILKAMAL,Nilkamal Limited,EQ,INE310A01015
NIPPOBATRY,Indo-National Limited,EQ,INE567A01010
NIRAJISPAT,Niraj Ispat Industries Limited,BE,INE326T01011
NITCO,Nitco Limited,EQ,INE858F01012
NITESHEST,Nitesh Estates Limited,EQ,INE639K01016
NITINFIRE,Nitin Fire Protection Industries Limited,EQ,INE489H01020
NITINSPIN,Nitin Spinners Limited,EQ,INE229H01012
NKIND,NK Industries Limited,EQ,INE542C01019
NLCINDIA,NLC India Limited,EQ,INE589A01014
NMDC,NMDC Limited,EQ,INE584A01023
NOCIL,NOCIL Limited,EQ,INE163A01018
NOIDATOLL,Noida Toll Bridge Company Limited,EQ,INE781B01015
NORBTEAEXP,Norben Tea & Exports Limited,BE,INE369C01017
NRAIL,N R Agarwal Industries Limited,EQ,INE740D01017
NRBBEARING,NRB Bearing Limited,EQ,INE349A01021
NSIL,Nalwa Sons Investments Limited,EQ,INE023A01030
NTL,Neueon Towers Limited,BE,INE333I01036
NTPC,NTPC Limited,EQ,INE733E01010
NUCLEUS,Nucleus Software Exports Limited,EQ,INE096B01018
NUTEK,Nu Tek India Limited,EQ,INE318J01027
OBEROIRLTY,Oberoi Realty Limited,EQ,INE093I01010
OCCL,Oriental Carbon & Chemicals Limited,EQ,INE321D01016
OCL,OCL India Limited,EQ,INE290B01025
OFSS,Oracle Financial Services Software Limited,EQ,INE881D01027
OIL,Oil India Limited,EQ,INE274J01014
OILCOUNTUB,Oil Country Tubular Limited,EQ,INE591A01010
OISL,OCL Iron and Steel Limited,EQ,INE196J01019
OLECTRA,Olectra Greentech Limited,BE,INE260D01016
OMAXAUTO,Omax Autos Limited,EQ,INE090B01011
OMAXE,Omaxe Limited,EQ,INE800H01010
OMKARCHEM,Omkar Speciality Chemicals Limited,EQ,INE474L01016
OMMETALS,OM Metals Infraprojects Limited,EQ,INE239D01028
ONELIFECAP,Onelife Capital Advisors Limited,EQ,INE912L01015
ONGC,Oil & Natural Gas Corporation Limited,EQ,INE213A01029
ONMOBILE,OnMobile Global Limited,EQ,INE809I01019
ONWARDTEC,Onward Technologies Limited,EQ,INE229A01017
OPTIEMUS,Optiemus Infracom Limited,BE,INE350C01017
OPTOCIRCUI,Opto Circuits (India) Limited,BE,INE808B01016
ORBTEXP,Orbit Exports Limited,EQ,INE231G01010
ORCHIDPHAR,Orchid Pharma Limited,BZ,INE191A01019
ORICONENT,Oricon Enterprises Limited,EQ,INE730A01022
ORIENTABRA,Orient Abrasives Limited,EQ,INE569C01020
ORIENTALTL,Oriental Trimex Limited,EQ,INE998H01012
ORIENTBANK,Oriental Bank of Commerce,EQ,INE141A01014
ORIENTBELL,Orient Bell Limited,EQ,INE607D01018
ORIENTCEM,Orient Cement Limited,EQ,INE876N01018
ORIENTELEC,Orient Electric Limited,EQ,INE142Z01019
ORIENTHOT,Oriental Hotels Limited,EQ,INE750A01020
ORIENTLTD,Orient Press Limited,EQ,INE609C01024
ORIENTPPR,Orient Paper & Industries Limited,EQ,INE592A01026
ORIENTREF,Orient Refractories Limited,EQ,INE743M01012
ORISSAMINE,The Orissa Minerals Development Company Limited,EQ,INE725E01024
ORTEL,Ortel Communications Limited,BE,INE849L01019
ORTINLABSS,Ortin Laboratories Limited,EQ,INE749B01012
OSWALAGRO,Oswal Agro Mills Limited,EQ,INE142A01012
PAEL,PAE Limited,EQ,INE766A01018
PAGEIND,Page Industries Limited,EQ,INE761H01022
PAISALO,Paisalo Digital Limited,EQ,INE420C01042
PALASHSECU,Palash Securities Limited,EQ,INE471W01019
PALREDTEC,Palred Technologies Limited,EQ,INE218G01033
PANACEABIO,Panacea Biotec Limited,EQ,INE922B01023
PANAMAPET,Panama Petrochem Limited,EQ,INE305C01029
PANORAMUNI,Panoramic Universal Limited,BZ,INE194B01029
PAPERPROD,Huhtamaki PPL Limited,EQ,INE275B01026
PARABDRUGS,Parabolic Drugs Limited,EQ,INE618H01016
PARACABLES,Paramount Communications Limited,EQ,INE074B01023
PARAGMILK,Parag Milk Foods Limited,EQ,INE883N01014
PARSVNATH,Parsvnath Developers Limited,EQ,INE561H01026
PATELENG,Patel Engineering Limited,EQ,INE244B01030
PATINTLOG,Patel Integrated Logistics Limited,EQ,INE529D01014
PATSPINLTD,Patspin India Limited,EQ,INE790C01014
PBAINFRA,PBA Infrastructure Limited,EQ,INE160H01019
PCJEWELLER,PC Jeweller Limited,EQ,INE785M01013
PDMJEPAPER,Pudumjee Paper Products Limited,EQ,INE865T01018
PDPL,Parenteral Drugs (India) Limited,EQ,INE904D01019
PDSMFL,PDS Multinational Fashions Limited,EQ,INE111Q01013
PEARLPOLY,Pearl Polymers Limited,EQ,INE844A01013
PEL,Piramal Enterprises Limited,EQ,INE140A01024
PENIND,Pennar Industries Limited,EQ,INE932A01024
PENINLAND,Peninsula Land Limited,EQ,INE138A01028
PENPEBS,Pennar Engineered Building Systems Limited,EQ,INE455O01019
PERSISTENT,Persistent Systems Limited,EQ,INE262H01013
PETRONENGG,Petron Engineering Construction Limited,EQ,INE742A01019
PETRONET,Petronet LNG Limited,EQ,INE347G01014
PFC,Power Finance Corporation Limited,EQ,INE134E01011
PFIZER,Pfizer Limited,EQ,INE182A01018
PFOCUS,Prime Focus Limited,EQ,INE367G01038
PFS,PTC India Financial Services Limited,EQ,INE560K01014
PGEL,PG Electroplast Limited,EQ,INE457L01011
PGHH,Procter & Gamble Hygiene and Health Care Limited,EQ,INE179A01014
PGIL,Pearl Global Industries Limited,EQ,INE940H01014
PHILIPCARB,Phillips Carbon Black Limited,EQ,INE602A01023
PHOENIXLTD,The Phoenix Mills Limited,EQ,INE211B01039
PIDILITIND,Pidilite Industries Limited,EQ,INE318A01026
PIIND,PI Industries Limited,EQ,INE603J01030
PILANIINVS,Pilani Investment and Industries Corporation Limited,BE,INE417C01014
PILITA,PIL ITALICA LIFESTYLE LIMITED,EQ,INE600A01035
PIONDIST,Pioneer Distilleries Limited,EQ,INE889E01010
PIONEEREMB,Pioneer Embroideries Limited,EQ,INE156C01018
PIRPHYTO,Piramal Phytocare Limited,BE,INE122J01015
PITTIENG,Pitti Engineering Limited,EQ,INE450D01021
PKTEA,The Peria Karamalai Tea & Produce Company Limited,BE,INE431F01018
PLASTIBLEN,Plastiblends India Limited,EQ,INE083C01022
PNB,Punjab National Bank,EQ,INE160A01022
PNBGILTS,PNB Gilts Limited,EQ,INE859A01011
PNBHOUSING,PNB Housing Finance Limited,EQ,INE572E01012
PNC,Pritish Nandy Communications Limited,EQ,INE392B01011
PNCINFRA,PNC Infratech Limited,EQ,INE195J01029
POCHIRAJU,Pochiraju Industries Limited,EQ,INE332G01032
PODDARHOUS,Poddar Housing and Development Limited,EQ,INE888B01018
PODDARMENT,Poddar Pigments Limited,EQ,INE371C01013
POKARNA,Pokarna Limited,EQ,INE637C01025
POLYMED,Poly Medicure Limited,EQ,INE205C01021
POLYPLEX,Polyplex Corporation Limited,EQ,INE633B01018
PONNIERODE,Ponni Sugars (Erode) Limited,EQ,INE838E01017
POWERGRID,Power Grid Corporation of India Limited,EQ,INE752E01010
POWERMECH,Power Mech Projects Limited,EQ,INE211R01019
PPAP,PPAP Automotive Limited,EQ,INE095I01015
PRABHAT,Prabhat Dairy Limited,EQ,INE302M01033
PRADIP,Pradip Overseas Limited,BE,INE495J01015
PRAENG,Prajay Engineers Syndicate Limited,EQ,INE505C01016
PRAJIND,Praj Industries Limited,EQ,INE074A01025
PRAKASH,Prakash Industries Limited,EQ,INE603A01013
PRAKASHCON,Prakash Constrowell Limited,EQ,INE023M01027
PRATIBHA,Pratibha Industries Limited,BE,INE308H01022
PRAXIS,Praxis Home Retail Limited,EQ,INE546Y01022
PRECAM,Precision Camshafts Limited,EQ,INE484I01029
PRECOT,Precot Meridian Limited,EQ,INE283A01014
PRECWIRE,Precision Wires India Limited,EQ,INE372C01029
PREMEXPLN,Premier Explosives Limited,EQ,INE863B01011
PREMIER,Premier Limited,EQ,INE342A01018
PREMIERPOL,Premier Polyfilm Limited,EQ,INE309M01012
PRESSMN,Pressman Advertising Limited,EQ,INE980A01023
PRESTIGE,Prestige Estates Projects Limited,EQ,INE811K01011
PRICOLLTD,Pricol Limited,EQ,INE726V01018
PRIMESECU,Prime Securities Limited,EQ,INE032B01021
PROVOGE,Provogue (India) Limited,EQ,INE968G01033
PROZONINTU,Prozone Intu Properties Limited,EQ,INE195N01013
PRSMJOHNSN,Prism Johnson Limited,EQ,INE010A01011
PSB,Punjab & Sind Bank,EQ,INE608A01012
PSL,PSL Limited,EQ,INE474B01017
PSPPROJECT,PSP Projects Limited,EQ,INE488V01015
PTC,PTC India Limited,EQ,INE877F01012
PTL,PTL Enterprises Limited,EQ,INE034D01031
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,EQ,INE277B01014
PUNJLLOYD,Punj Lloyd Limited,EQ,INE701B01021
PURVA,Puravankara Limited,EQ,INE323I01011
PVP,PVP Ventures Limited,EQ,INE362A01016
PVR,PVR Limited,EQ,INE191H01014
QUESS,Quess Corp Limited,EQ,INE615P01015
QUICKHEAL,Quick Heal Technologies Limited,EQ,INE306L01010
QUINTEGRA,Quintegra Solutions Limited,EQ,INE033B01011
RADAAN,Radaan Mediaworks India Limited,EQ,INE874F01027
RADICO,Radico Khaitan Limited,EQ,INE944F01028
RADIOCITY,Music Broadcast Limited,EQ,INE919I01016
RAIN,Rain Industries Limited,BE,INE855B01025
RAINBOWPAP,Rainbow Papers Limited,BE,INE028D01025
RAJESHEXPO,Rajesh Exports Limited,EQ,INE343B01030
RAJRAYON,Raj Rayon Industries Limited,BE,INE533D01024
RAJSREESUG,Rajshree Sugars & Chemicals Limited,EQ,INE562B01019
RAJTV,Raj Television Network Limited,EQ,INE952H01027
RAJVIR,Rajvir Industries Limited,BE,INE011H01014
RALLIS,Rallis India Limited,EQ,INE613A01020
RAMANEWS,Shree Rama Newsprint Limited,EQ,INE278B01020
RAMASTEEL,Rama Steel Tubes Limited,EQ,INE230R01027
RAMCOCEM,The Ramco Cements Limited,EQ,INE331A01037
RAMCOIND,Ramco Industries Limited,EQ,INE614A01028
RAMCOSYS,Ramco Systems Limited,EQ,INE246B01019
RAMGOPOLY,Ramgopal Polytex Limited,BE,INE410D01017
RAMKY,Ramky Infrastructure Limited,EQ,INE874I01013
RAMSARUP,Ramsarup Industries Limited,BZ,INE005D01015
RANASUG,Rana Sugars Limited,EQ,INE625B01014
RANEENGINE,Rane Engine Valve Limited,EQ,INE222J01013
RANEHOLDIN,Rane Holdings Limited,EQ,INE384A01010
RATNAMANI,Ratnamani Metals & Tubes Limited,EQ,INE703B01027
RAYMOND,Raymond Limited,EQ,INE301A01014
RBL,Rane Brake Lining Limited,EQ,INE244J01017
RBLBANK,RBL Bank Limited,EQ,INE976G01028
RCF,Rashtriya Chemicals and Fertilizers Limited,EQ,INE027A01015
RCOM,Reliance Communications Limited,EQ,INE330H01018
RECLTD,Rural Electrification Corporation Limited,EQ,INE020B01018
REDINGTON,Redington (India) Limited,EQ,INE891D01026
REFEX,Refex Industries Limited,EQ,INE056I01017
REGENCERAM,Regency Ceramics Limited,BE,INE277C01012
RELAXO,Relaxo Footwears Limited,EQ,INE131B01039
RELCAPITAL,Reliance Capital Limited,EQ,INE013A01015
RELIANCE,Reliance Industries Limited,EQ,INE002A01018
RELIGARE,Religare Enterprises Limited,EQ,INE621H01010
RELINFRA,Reliance Infrastructure Limited,EQ,INE036A01016
REMSONSIND,Remsons Industries Limited,EQ,INE474C01015
RENUKA,Shree Renuka Sugars Limited,EQ,INE087H01022
REPCOHOME,Repco Home Finance Limited,EQ,INE612J01015
REPRO,Repro India Limited,EQ,INE461B01014
RESPONIND,Responsive Industries Limited,EQ,INE688D01026
REVATHI,Revathi Equipment Limited,EQ,INE617A01013
RHFL,Reliance Home Finance Limited,EQ,INE217K01011
RICOAUTO,Rico Auto Industries Limited,EQ,INE209B01025
RIIL,Reliance Industrial Infrastructure Limited,EQ,INE046A01015
RITES,RITES Limited,EQ,INE320J01015
RJL,Renaissance Jewellery Limited,EQ,INE722H01016
RKDL,Ravi Kumar Distilleries Limited,EQ,INE722J01012
RKFORGE,Ramkrishna Forgings Limited,EQ,INE399G01015
RMCL,Radha Madhav Corporation Limited,EQ,INE172H01014
RML,Rane (Madras) Limited,EQ,INE050H01012
RNAM,Reliance Nippon Life Asset Management Limited,EQ,INE298J01013
RNAVAL,Reliance Naval and Engineering Limited,EQ,INE542F01012
ROHITFERRO,Rohit Ferro-Tech Limited,EQ,INE248H01012
ROHLTD,Royal Orchid Hotels Limited,EQ,INE283H01019
ROLLT,Rollatainers Limited,EQ,INE927A01040
ROLTA,Rolta India Limited,EQ,INE293A01013
ROSSELLIND,Rossell India Limited,EQ,INE847C01020
RPGLIFE,RPG Life Sciences Limited,EQ,INE105J01010
RPOWER,Reliance Power Limited,EQ,INE614G01033
RPPINFRA,R.P.P. Infra Projects Limited,EQ,INE324L01013
RSSOFTWARE,R. S. Software (India) Limited,EQ,INE165B01029
RSWM,RSWM Limited,EQ,INE611A01016
RSYSTEMS,R Systems International Limited,EQ,INE411H01032
RTNINFRA,RattanIndia Infrastructure Limited,EQ,INE834M01019
RTNPOWER,RattanIndia Power Limited,EQ,INE399K01017
RUBYMILLS,The Ruby Mills Limited,EQ,INE301D01026
RUCHINFRA,Ruchi Infrastructure Limited,BE,INE413B01023
RUCHIRA,Ruchira Papers Limited,EQ,INE803H01014
RUCHISOYA,Ruchi Soya Industries Limited,EQ,INE619A01027
RUPA,Rupa & Company Limited,EQ,INE895B01021
RUSHIL,Rushil Decor Limited,EQ,INE573K01017
SABEVENTS,Sab Events & Governance Now Media Limited,EQ,INE860T01019
SABTN,Sri Adhikari Brothers Television Network Limited,EQ,INE416A01036
SADBHAV,Sadbhav Engineering Limited,EQ,INE226H01026
SADBHIN,Sadbhav Infrastructure Project Limited,EQ,INE764L01010
SAGCEM,Sagar Cements Limited,EQ,INE229C01013
SAIL,Steel Authority of India Limited,EQ,INE114A01011
SAKHTISUG,Sakthi Sugars Limited,EQ,INE623A01011
SAKSOFT,Saksoft Limited,EQ,INE667G01015
SAKUMA,Sakuma Exports Limited,EQ,INE190H01016
SALASAR,Salasar Techno Engineering Limited,EQ,INE170V01019
SALONA,Salona Cotspin Limited,EQ,INE498E01010
SALORAINTL,Salora International Limited,EQ,INE924A01013
SALSTEEL,S.A.L. Steel Limited,EQ,INE658G01014
SALZERELEC,Salzer Electronics Limited,EQ,INE457F01013
SAMBHAAV,Sambhaav Media Limited,EQ,INE699B01027
SANCO,Sanco Industries Limited,EQ,INE782L01012
SANDESH,The Sandesh Limited,EQ,INE583B01015
SANDHAR,Sandhar Technologies Limited,EQ,INE278H01035
SANGAMIND,Sangam (India) Limited,EQ,INE495C01010
SANGHIIND,Sanghi Industries Limited,EQ,INE999B01013
SANGHVIFOR,Sanghvi Forging and Engineering Limited,EQ,INE263L01013
SANGHVIMOV,Sanghvi Movers Limited,EQ,INE989A01024
SANOFI,Sanofi India Limited,EQ,INE058A01010
SANWARIA,Sanwaria Consumer Limited,EQ,INE890C01046
SARDAEN,Sarda Energy & Minerals Limited,EQ,INE385C01013
SAREGAMA,Saregama India Limited,EQ,INE979A01017
SARLAPOLY,Sarla Performance Fibers Limited,EQ,INE453D01025
SASKEN,Sasken Technologies Limited,EQ,INE231F01020
SASTASUNDR,Sastasundar Ventures Limited,EQ,INE019J01013
SATHAISPAT,Sathavahana Ispat Limited,EQ,INE176C01016
SATIN,Satin Creditcare Network Limited,EQ,INE836B01017
SBILIFE,SBI Life Insurance Company Limited,EQ,INE123W01016
SBIN,State Bank of India,EQ,INE062A01020
SCAPDVR,Stampede Capital Limited,EQ,INE224E01036
SCHAEFFLER,Schaeffler India Limited,EQ,INE513A01014
SCHAND,S Chand And Company Limited,EQ,INE807K01035
SCHNEIDER,Schneider Electric Infrastructure Limited,EQ,INE839M01018
SCI,Shipping Corporation Of India Limited,EQ,INE109A01011
SDBL,Som Distilleries & Breweries Limited,EQ,INE480C01012
SEAMECLTD,Seamec Limited,EQ,INE497B01018
SELAN,Selan Exploration Technology Limited,EQ,INE818A01017
SELMCL,SEL Manufacturing Company Limited,EQ,INE105I01012
SEPOWER,S.E. Power Limited,EQ,INE735M01018
SEQUENT,Sequent Scientific Limited,EQ,INE807F01027
SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,INE630A01016
SETCO,Setco Automotive Limited,EQ,INE878E01021
SEZAL,Sezal Glass Limited,BZ,INE955I01036
SFL,Sheela Foam Limited,EQ,INE916U01025
SGFL,Shree Ganesh Forgings Limited,BE,INE883G01018
SGL,STL Global Limited,EQ,INE353H01010
SHAHALLOYS,Shah Alloys Limited,EQ,INE640C01011
SHAKTIPUMP,Shakti Pumps (India) Limited,EQ,INE908D01010
SHALBY,Shalby Limited,EQ,INE597J01018
SHALPAINTS,Shalimar Paints Limited,EQ,INE849C01026
SHANKARA,Shankara Building Products Limited,EQ,INE274V01019
SHANTIGEAR,Shanthi Gears Limited,EQ,INE631A01022
SHARDACROP,Sharda Cropchem Limited,EQ,INE221J01015
SHARDAMOTR,Sharda Motor Industries Limited,EQ,INE597I01010
SHARONBIO,Sharon Bio-Medicine Limited,BZ,INE028B01029
SHEMAROO,Shemaroo Entertainment Limited,EQ,INE363M01019
SHILPAMED,Shilpa Medicare Limited,EQ,INE790G01031
SHILPI,Shilpi Cable Technologies Limited,EQ,INE510K01019
SHIRPUR-G,Shirpur Gold Refinery Limited,EQ,INE196B01016
SHIVAMAUTO,Shivam Autotech Limited,EQ,INE637H01024
SHIVAMILLS,Shiva Mills Limited,EQ,INE644Y01017
SHIVATEX,Shiva Texyarn Limited,EQ,INE705C01020
SHK,S H Kelkar and Company Limited,EQ,INE500L01026
SHOPERSTOP,Shoppers Stop Limited,EQ,INE498B01024
SHREECEM,SHREE CEMENT LIMITED,EQ,INE070A01015
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,EQ,INE712K01011
SHREERAMA,Shree Rama Multi-Tech Limited,EQ,INE879A01019
SHREYANIND,Shreyans Industries Limited,EQ,INE231C01019
SHREYAS,Shreyas Shipping & Logistics Limited,EQ,INE757B01015
SHRIPISTON,Shriram Pistons & Rings Limited,BE,INE526E01018
SHRIRAMCIT,Shriram City Union Finance Limited,EQ,INE722A01011
SHRIRAMEPC,Shriram EPC Limited,EQ,INE964H01014
SHYAMCENT,Shyam Century Ferrous Limited,EQ,INE979R01011
SHYAMTEL,Shyam Telecom Limited,EQ,INE635A01023
SICAGEN,Sicagen India Limited,EQ,INE176J01011
SICAL,Sical Logistics Limited,EQ,INE075B01012
SIEMENS,Siemens Limited,EQ,INE003A01024
SIL,Standard Industries Limited,BE,INE173A01025
SILINV,SIL Investments Limited,EQ,INE923A01015
SIMBHALS,Simbhaoli Sugars Limited,EQ,INE748T01016
SIMPLEX,Simplex Projects Limited,EQ,INE898F01018
SIMPLEXINF,Simplex Infrastructures Limited,EQ,INE059B01024
SINTEX,Sintex Industries Limited,EQ,INE429C01035
SIS,Security and Intelligence Services (India) Limited,EQ,INE285J01010
SITASHREE,Sita Shree Food Products Limited,BE,INE686I01011
SITINET,Siti Networks Limited,EQ,INE965H01011
SIYSIL,Siyaram Silk Mills Limited,EQ,INE076B01028
SJVN,SJVN Limited,EQ,INE002L01015
SKFINDIA,SKF India Limited,EQ,INE640A01023
SKIL,SKIL Infrastructure Limited,EQ,INE429F01012
SKIPPER,Skipper Limited,EQ,INE439E01022
SKMEGGPROD,SKM Egg Products Export (India) Limited,EQ,INE411D01015
SMARTLINK,Smartlink Holdings Limited,EQ,INE178C01020
SMLISUZU,SML Isuzu Limited,EQ,INE294B01019
SMPL,Splendid Metal Products Limited,BE,INE215G01021
SMSLIFE,SMS Lifesciences India Limited,EQ,INE320X01016
SMSPHARMA,SMS Pharmaceuticals Limited,EQ,INE812G01025
SNOWMAN,Snowman Logistics Limited,EQ,INE734N01019
SOBHA,Sobha Limited,EQ,INE671H01015
SOLARA,Solara Active Pharma Sciences Limited,EQ,INE624Z01016
SOLARINDS,Solar Industries India Limited,EQ,INE343H01029
SOMANYCERA,Somany Ceramics Limited,EQ,INE355A01028
SOMATEX,Soma Textiles & Industries Limited,EQ,INE314C01013
SOMICONVEY,Somi Conveyor Beltings Limited,EQ,INE323J01019
SONATSOFTW,Sonata Software Limited,EQ,INE269A01021
SORILINFRA,SORIL Infra Resources Limited,EQ,INE034H01016
SOTL,Savita Oil Technologies Limited,EQ,INE035D01012
SOUTHBANK,The South Indian Bank Limited,EQ,INE683A01023
SPAL,S. P. Apparels Limited,EQ,INE212I01016
SPARC,Sun Pharma Advanced Research Company Limited,EQ,INE232I01014
SPECIALITY,Speciality Restaurants Limited,EQ,INE247M01014
